Date,Code,Description, Total bottles ,cause, Bollore Recharge value ,Location
2023-12-13,703125,Tusker In Bottl 500ml RET 25X01 EXP,5,Breakages While Loading,106.46,OLD WHS
2023-12-13,703125,Tusker In Bottl 500ml RET 25X01 EXP,18,Breakages While Loading,383.26,OLD WHS
2023-12-14,703125,Tusker In Bottl 500ml RET 25X01 EXP,6,Breakages While Loading,127.75,OLD WHS
2023-12-16,663869,Tusker Lite     330ml RET 25X01 LITE,1,Breakages While Loading,72.57,NEW WHS 
2023-12-17,703125,Tusker In Bottl 500ml RET 25X01 EXP,3,Breakages While Loading,63.88,NEW WHS 
2023-12-14,703125,Tusker In Bottl 500ml RET 25X01 EXP,3,Breakages While Loading,63.88,OLD WHS
2023-12-17,663869,Tusker Lite     330ml RET 25X01 LITE,3,Breakages While Shunting,217.71,OLD WHS
2023-12-18,663869,Tusker Lite     330ml RET 25X01 LITE,1,Breakages At PVC,72.57,NEW WHS 
2023-12-18,642754,Tusker Malt     330ml RET 25X01,1,Breakages At PVC,74.64,NEW WHS 
2023-12-18,703125,Tusker In Bottl 500ml RET 25X01 EXP,9,Breakages While Loading,191.63,OLD WHS
2023-12-19,704768,Tusker Lite     330ml RET 25X01 EXP,5,Breakages While Loading,120.89,OLD WHS
2023-12-20,642754,Tusker Malt In  330ml RET 25X01 local,25,Breakages While Loading,1865.88,OLD WHS
2023-12-22,726668,Tusker Cdr in B 500ml RET 25X01 LOCAL,1,Breakages At PVC,121.72,NEW WHS 
2023-12-20,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,7,Breakages While Loading,649.81,NEW WHS 
2023-12-24,663869,Tusker Lite     330ml RET 25X01 LITE,1,Breakages At PVC,72.57,NEW WHS 
2023-12-24,681232,Balozi Lager    500ml RET 25X01 LOCAL,1,Breakages At PVC,99.57,NEW WHS 
2023-12-21,696894,Guinness FES    500ml RET 25X01,2,Breakages At PVC,232.07,NEW WHS 
2023-12-22,764302,White Cap Lager 500ml RET 25X01 DEFCO,16,Breakages While Shunting,326.83,OLD WHS
2023-12-27,764302,White Cap Lager 500ml RET 25X01 DEFCO,11,Breakages While Loading,224.69,NEW WHS 
2023-12-27,642754,Tusker Malt In  330ml RET 25X01 local,7,Breakages While Loading,522.45,NEW WHS 
2023-12-28,616895,Tusker In Bottl 500ml RET 12X01 EXP,5,Breakages While Loading,551.99,OLD WHS
2023-12-27,704441,Tusker In Can   500ml CAN 24X01 UBL,12,Breakages While Loading,1471.16,OLD WHS
2023-12-28,726668,Tusker Cdr in B 500ml RET 25X01 LOCAL,36,Breakages While Loading,4381.89,NEW WHS 
2023-12-29,758963,Guin Smth Btl   500ml RET 25X01,10,Breakage During Offloading,1148.15,NEW WHS 
2023-12-29,696894,Guinness FES    500ml RET 25X01,11,Breakages While Loading,1276.37,NEW WHS 
2023-12-22,762947,White Cap Lager 500ml RET 25X01,12,Housekeeping Breakages,1120.01,OLD WHS
2023-12-29,677573,Pilsner Lager I 500ml RET 25X01 BOLD,1,Breakages At PVC,92.19,NEW WHS 
2023-12-30,663869,Tusker Lite     330ml RET 25X01 LITE,5,Breakages While Loading,362.85,NEW WHS 
2024-01-04,663869,Tusker Lite     330ml RET 25X01 LITE,6,Breakages While Loading,435.42,NEW WHS 
2024-01-04,782264,Tusker Ndimu 25 300ml RET 25X01 RET,3,Breakages While Loading,228.27,NEW WHS 
2024-01-06,703125,Tusker In Bottl 500ml RET 25X01 EXP,6,Breakages While Loading,127.75,OLD WHS
2024-01-10,696894,Guinness FES    500ml RET 25X01,1,Breakages While Loading,116.03,NEW WHS 
2024-01-10,762947,White Cap Lager 500ml RET 25X01,35,Breakages While Loading,3266.7,NEW WHS 
2024-01-10,726668,Tusker Cdr in B 500ml RET 25X01 LOCAL,48,Breakages While Loading,5842.52,OLD WHS
2024-01-10,730510,Tusker In Bottl 500ml RET 25X01 LIMITED,4,Breakages While Loading,371.32,OLD WHS
2024-01-11,758963,Guin Smth Btl   500ml RET 25X01,1,Breakages At PVC,114.82,NEW WHS 
2024-01-13,681232,Balozi Lager    500ml RET 25X01 LOCAL,11,Breakages While Loading,1095.23,NEW WHS 
2024-01-15,696894,Guinness FES    500ml RET 25X01,13,Breakages While Shunting,1508.43,NEW WHS 
2024-01-16,663869,Tusker Lite     330ml RET 25X01 LITE,1,Breakages At PVC,72.57,NEW WHS 
2024-01-22,762947,White Cap Lager 500ml RET 25X01,36,Breakages While Loading,3360.03,OLD WHS
2024-01-26,762947,White Cap Lager 500ml RET 25X01,167,Breakages While Loading,15586.8,OLD WHS
2024-01-29,762947,White Cap Lager 500ml RET 25X01,6,Breakages While Loading,560,NEW WHS 
2024-01-30,762947,White Cap Lager 500ml RET 25X01,3,Breakages While Loading,280,NEW WHS 
2024-01-31,642754,Tusker Malt In  330ml RET 25X01 local,1,Breakages At PVC,74.64,NEW WHS 
